		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2291 2935 2939 2941 2699 2414 2262 1854 183720.163688 0.000000 FAILURE   0
000000011  857  811 1780  655 1554 1956  390 1004 35883.208613 0.000000 FAILURE   1
000000101  486  535  435  903  997  387  760  952 8338.231337 0.000000 FAILURE   2
000000111  465  430  708  237  625 1529  208  294 8889.925301 0.000000 FAILURE   3
000001001  317  323  282  372   41  547  524 1014 3530.625827 0.000000 FAILURE   4
000001011  270  248  221  327  434   27  650   74 1207.283273 0.000000 FAILURE   5
000001101  227  232  189  285  202  199   55  553 593.695787 0.000000 FAILURE   6
000001111  440  428  541  367  519  656  290  326 1819.291540 0.000000 FAILURE   7
000010001  158  164  152  186  258   67  403    6 589.802287 0.000000 FAILURE   8
000010011  205  180  184  230   73  300  102  433 414.076837 0.000000 FAILURE   9
000010101  113  141  123  186  136  114  213  217 322.861317 0.000000 FAILURE  10
000010111  217  208  183  312  322   91  440  196 341.386159 0.000000 FAILURE  11
000011001  113  119  105  143  221   12   43  279 671.581683 0.000000 FAILURE  12
000011011  159  134  137  186   73  207  103  347 404.134430 0.000000 FAILURE  13
000011101   79   85  173    6  177  192   42    6 928.382182 0.000000 FAILURE  14
000011111  672  668  674  679  685  782  557  674 6367.798158 0.000000 FAILURE  15
000100011  124  100  122  134  153   88  278   74 529.638386 0.000000 FAILURE  16
000100101   79   85   89   90   41  154  171   51 815.271547 0.000000 FAILURE  17
000100111  187  175  167  262  146  216  173  376 199.880299 0.000000 FAILURE  18
000101001   70   94   90   90   40  155   38  186 829.719653 0.000000 FAILURE  19
000101011  102   78   97  111  163   32  231  105 670.543698 0.000000 FAILURE  20
000101101   56   63   66   68  131   18  174    6 1086.691738 0.000000 FAILURE  21
000101111  295  328  265  437  342  270  442  370 476.658818 0.000000 FAILURE  22
000110011  102   77   99  113  163   33   97  210 679.352796 0.000000 FAILURE  23
000110101   56   63   65   68  112   37   38  143 1035.334815 0.000000 FAILURE  24
000110111  163  152  145  239  148  170  172  335 225.031294 0.000000 FAILURE  25
000111001   39   46  101    0  106  110   37   11 1252.900566 0.000000 FAILURE  26
000111011   85   61  131   44  124  139   95   74 798.039948 0.000000 FAILURE  27
000111101   39   46  100    0   90  130   33    6 1269.963757 0.000000 FAILURE  28
000111111 1243 1238 1216 1286 1209 1315 1064 1194 32485.934645 0.000000 FAILURE  29
001000011   85   61   93   82  123   55  199   65 815.730167 0.000000 FAILURE  30
001000101   39   46   53   45   92   41  122    6 1243.586246 0.000000 FAILURE  31
001000111  145  135  139  217  135  157  302  169 262.730249 0.000000 FAILURE  32
001001011   88   66   84   92   47  124  181  117 755.480473 0.000000 FAILURE  33
001001101   39   56   46   53   15  108   32  131 1195.046709 0.000000 FAILURE  34
001001111  291  317  247  408  238  347  356  442 409.527712 0.000000 FAILURE  35
