		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  225  255  237  241  250  243  235  255  3.312547 0.913241 SUCCESS   0
000000011  241  247  246  243  218  243  238  260  4.220254 0.836725 SUCCESS   1
000000101  248  259  223  249  255  253  242  247  3.881320 0.867669 SUCCESS   2
000000111  256  237  224  254  222  232  259  268  8.990745 0.343077 SUCCESS   3
000001001  246  254  249  240  260  238  231  249  2.657981 0.953957 SUCCESS   4
000001011  234  264  259  232  293  254  229  238 15.329863 0.053040 SUCCESS   5
000001101  264  249  242  267  257  223  268  256  9.615654 0.293044 SUCCESS   6
000001111  252  241  262  232  225  227  255  241  5.615177 0.690249 SUCCESS   7
000010001  256  260  234  254  247  213  247  252  6.949729 0.542066 SUCCESS   8
000010011  251  255  237  234  261  236  243  241  2.883584 0.941449 SUCCESS   9
000010101  250  251  251  249  245  245  272  253  4.279567 0.831060 SUCCESS  10
000010111  240  252  251  238  258  227  224  257  5.170327 0.739226 SUCCESS  11
000011001  234  257  238  255  234  254  224  239  4.471276 0.812300 SUCCESS  12
000011011  229  246  262  251  246  229  239  255  4.134461 0.844793 SUCCESS  13
000011101  243  216  236  234  237  247  242  255  4.840926 0.774435 SUCCESS  14
000011111  259  247  241  247  217  223  243  254  6.475222 0.594157 SUCCESS  15
000100011  242  262  270  247  238  243  240  243  4.486105 0.810822 SUCCESS  16
000100101  247  243  235  226  247  265  259  229  5.572811 0.694961 SUCCESS  17
000100111  237  237  239  237  259  247  227  242  2.990560 0.934949 SUCCESS  18
000101001  249  263  238  238  258  256  263  228  5.951993 0.652610 SUCCESS  19
000101011  230  245  245  255  245  247  246  232  2.028836 0.980115 SUCCESS  20
000101101  240  240  240  239  251  255  264  268  5.117369 0.744961 SUCCESS  21
000101111  249  240  260  245  242  237  241  252  1.782050 0.986980 SUCCESS  22
000110011  249  263  241  214  259  263  231  229  9.642133 0.291047 SUCCESS  23
000110101  268  245  243  255  232  259  240  245  4.560246 0.803376 SUCCESS  24
000110111  248  258  249  255  247  239  225  257  3.879202 0.867854 SUCCESS  25
