		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 1931 1952 1975 1649 1482 1149  949  777 58736.881225 0.000000 FAILURE   0
000000011  765  781 1126  465 1032 1260  795  243 14160.005786 0.000000 FAILURE   1
000000101  515  524  432  650  757  124  467  857 4467.546489 0.000000 FAILURE   2
000000111  454  460  509  545  523  502  891  248 3448.934342 0.000000 FAILURE   3
000001001  282  316  180  486  219  154  583  415 940.559432 0.000000 FAILURE   4
000001011  272  295  266  353  403  163   70  751 1418.275830 0.000000 FAILURE   5
000001101  169  182  386   12  319  471   37   10 1009.630934 0.000000 FAILURE   6
000001111  385  506  455  606  341  641  710  479 2978.152316 0.000000 FAILURE   7
000010001  170  181  180  217    0  381   37  420 705.370191 0.000000 FAILURE   8
000010011  140  164  163  193  264   98  381  120 348.874475 0.000000 FAILURE   9
000010101  119  132  123  172  215   52  135  231 414.949591 0.000000 FAILURE  10
000010111  195  227  258  325  288  216  152  580 565.404360 0.000000 FAILURE  11
000011001   79   92  215    0  170  269   12   23 930.987734 0.000000 FAILURE  12
000011011   97  123  257   37  210  310   45  124 588.763244 0.000000 FAILURE  13
000011101   79   92  111  103  169   62  217   55 692.120003 0.000000 FAILURE  14
000011111  646  786  740  868  629  923  847  874 10419.858058 0.000000 FAILURE  15
000100011   98  123  153  157   33  263   45  343 619.720596 0.000000 FAILURE  16
000100101   57   93   52  168   24   62  172  255 794.402766 0.000000 FAILURE  17
000100111  127  193  187  249  234  162  301  273 129.365151 0.000000 FAILURE  18
000101001   52   65   83   79  122   52  171   55 911.593315 0.000000 FAILURE  19
000101011   73   98  125  138  141   94   45  302 645.084485 0.000000 FAILURE  20
000101101   53   66   83   80  130   45   12  225 966.294029 0.000000 FAILURE  21
000101111  281  378  337  487  322  441  277  672 1338.272658 0.000000 FAILURE  22
000110011   53   78  175   52  123  199   32  148 748.878680 0.000000 FAILURE  23
000110101   33   46  124    0  109  157    0   65 1166.722447 0.000000 FAILURE  24
000110111  104  183  231  184  204  262  128  284 187.104618 0.000000 FAILURE  25
000111001   33   45   73   51  111   54  102   65 1088.657553 0.000000 FAILURE  26
000111011   53   78  124  104  122   93  150  165 640.012131 0.000000 FAILURE  27
000111101   33   46   73   51   29  134  102   66 1104.680641 0.000000 FAILURE  28
