		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2827 2935 2941 2448 2311 1967 1743 1697 159468.259465 0.000000 FAILURE   0
000000011 1099 1125 1787  486 2122 1453   96  977 40216.846121 0.000000 FAILURE   1
000000101  842  849  356 1355  598  136 1148 1580 19947.762947 0.000000 FAILURE   2
000000111  629  564 1072  136  855 1386  185   95 11228.438313 0.000000 FAILURE   3
000001001  493  499  286  721   24  579 1024  431 4913.635080 0.000000 FAILURE   4
000001011  485  396  281  538  547   18  646  524 2336.559377 0.000000 FAILURE   5
000001101  288  297  407  199  635  198   59  363 1002.390464 0.000000 FAILURE   6
000001111  566  472  754  272  489 1096  320  194 5127.237425 0.000000 FAILURE   7
000010001  246  253  215  302   30  432  605    6 1153.903341 0.000000 FAILURE   8
000010011  365  270  167  395   59  298  460  411 659.288982 0.000000 FAILURE   9
000010101  229  231   39  432  109    0  345  529 1046.286609 0.000000 FAILURE  10
000010111  422  243  231  340  407  149  449  236 502.561823 0.000000 FAILURE  11
000011001  116  206  181  160  373   12   47  293 595.968761 0.000000 FAILURE  12
000011011  206  198  262   74  339  200  119  117 320.327788 0.000000 FAILURE  13
000011101   82  171  253   17  181  347   47    6 819.482798 0.000000 FAILURE  14
000011111  739  696  836  503  706 1090  631  444 8409.282423 0.000000 FAILURE  15
000100011  200  188  102  215   41  190  455   47 651.009469 0.000000 FAILURE  16
000100101   82  172   78  191    6  186  322   68 673.939390 0.000000 FAILURE  17
000100111  335  237  143  327   83  329  357  278 306.975920 0.000000 FAILURE  18
000101001   82  170    6  263    6   42  177  355 860.874011 0.000000 FAILURE  19
000101011  184  166   69  204  126   48  249  221 402.375152 0.000000 FAILURE  20
000101101   58  149   51  171   96   42  178  174 671.179199 0.000000 FAILURE  21
000101111  463  340  387  332  411  347  431  241 671.919557 0.000000 FAILURE  22
000110011   93  165  166  105  216   54  100  191 487.605316 0.000000 FAILURE  23
000110101   58   65  142   82  163   65   29  150 835.673235 0.000000 FAILURE  24
000110111  213  195  296   94  239  189  276   93 235.263913 0.000000 FAILURE  25
000111001   40   47  176   11  161  139   29    6 1103.470013 0.000000 FAILURE  26
000111011   76  148  201   34  112  229  107   40 684.961089 0.000000 FAILURE  27
000111101   40   47  178   12   78  223   30    6 1141.260056 0.000000 FAILURE  28
000111111 1254 1271 1361 1108 1293 1458 1189  911 33805.039016 0.000000 FAILURE  29
001000011   76  146  154   81  101  204  145   41 617.736775 0.000000 FAILURE  30
001000101   41   47  119   69    6  188  134    6 1080.891735 0.000000 FAILURE  31
001000111  213  196  167  222   66  225  417   88 407.049259 0.000000 FAILURE  32
001001011   77  148   72  163   23  198  165  104 636.765782 0.000000 FAILURE  33
001001101   42   46   48  142    6  120  111   97 1018.839338 0.000000 FAILURE  34
001001111  394  351  237  460  219  404  457  280 649.615604 0.000000 FAILURE  35
001010011   77  147   36  199   24  126  123  216 680.354768 0.000000 FAILURE  36
001010101   40   47   12  175    6   48  100  180 1098.306570 0.000000 FAILURE  37
001010111  201  183  153  214  110  157  313  173 212.639032 0.000000 FAILURE  38
001011011   64  137   59  153   68  127  112  136 679.486251 0.000000 FAILURE  39
001011101   30   35   35   89   93   48   89   28 1226.335582 0.000000 FAILURE  40
001011111  688  619  648  574  711  656  633  574 5326.102511 0.000000 FAILURE  41
001100101   29   34   34   48  136   54   12  109 1241.463674 0.000000 FAILURE  42
001100111  116  184  245  121  194  160  225  191 203.229387 0.000000 FAILURE  43
001101011   64   52  149   63  147  136   35  143 789.274276 0.000000 FAILURE  44
001101101   16   30   53   11  138   87   11   37 1364.061273 0.000000 FAILURE  45
001101111  285  337  386  273  350  282  447  217 363.493107 0.000000 FAILURE  46
001110101   12   36   53   12   80  145   11   36 1364.355722 0.000000 FAILURE  47
001110111   99  183  262   87  124  266  233  112 348.655227 0.000000 FAILURE  48
001111011   46   52  166   30   83  237   36   73 960.581938 0.000000 FAILURE  49
001111101   11   36   52   11   66  159  181  281 988.169019 0.000000 FAILURE  50
001111111 2397 2493 2461 2238 2236 2313 1970 1782 136310.201127 0.000000 FAILURE  51
010000011   46   53  144   51   84  191   79   72 883.176905 0.000000 FAILURE  52
010000111  100  181  237  111  159  240  225  113 285.350893 0.000000 FAILURE  53
010001011   47   54  131   64  102  158   95   71 847.654540 0.000000 FAILURE  54
010001111  283  338  268  390  280  242  518  258 460.377293 0.000000 FAILURE  55
010010011   46   52   41  154  101   71  182   71 889.008682 0.000000 FAILURE  56
010010111  100  185  138  211  125  174  195  243 246.363990 0.000000 FAILURE  57
010011011   48   52   42  154  102   72  154   98 862.821821 0.000000 FAILURE  58
010011111  646  620  487  787  600  569  682  630 5208.189611 0.000000 FAILURE  59
