		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2934 2235 1705  961 1118  688  624  379 63424.041365 0.000000 FAILURE   0
000000011 1080 1136 1841  241 1592 1054   79  255 27725.606142 0.000000 FAILURE   1
000000101  861  873  262 1537  471   66  562 1467 17486.995506 0.000000 FAILURE   2
000000111  567  611 1135  130  875 1418  135  151 12041.019044 0.000000 FAILURE   3
000001001  488  496  326  717   20  645 1332  113 7476.998798 0.000000 FAILURE   4
000001011  390  433  293  585  527   93  462  734 2397.285697 0.000000 FAILURE   5
000001101  262  274  483  118  909   63   51  194 2494.787377 0.000000 FAILURE   6
000001111  456  522  806  281  608 1002  289  307 4880.286126 0.000000 FAILURE   7
000010001  241  252  201  351   19  398  699   10 1480.455327 0.000000 FAILURE   8
000010011  262  303  214  403   79  379  673  157 1130.837846 0.000000 FAILURE   9
000010101  241  251   37  514   10   75  342  700 1765.037795 0.000000 FAILURE  10
000010111  242  278  323  275  493  175  227  359 375.085697 0.000000 FAILURE  11
000011001  156  163  210  171  353   75   49  303 435.767532 0.000000 FAILURE  12
000011011  135  181  315   55  560  100   80   55 1016.542003 0.000000 FAILURE  13
000011101  120  127  284   24  157  410   56   10 866.319192 0.000000 FAILURE  14
000011111  613  716  868  611  754  984  593  627 8296.446113 0.000000 FAILURE  15
000100011  139  180  139  228   65  246  425   55 538.260010 0.000000 FAILURE  16
000100101  117  127  107  202    9  211  403    9 793.794804 0.000000 FAILURE  17
000100111  211  243  221  310  145  318  393  253 184.289350 0.000000 FAILURE  18
000101001  121  128   33  276    6   68  205  354 743.795735 0.000000 FAILURE  19
000101011  142  181   78  291   62  111  223  400 507.740094 0.000000 FAILURE  20
000101101   93   98   98  155  114   83  192  139 551.398985 0.000000 FAILURE  21
000101111  300  352  402  344  455  342  294  462 651.021120 0.000000 FAILURE  22
000110011   97  137  164  119  236  111   76  202 436.489884 0.000000 FAILURE  23
000110101   65   70  159   35  231   82   47   49 918.398467 0.000000 FAILURE  24
000110111  149  181  285  126  381  195  134  162 290.965541 0.000000 FAILURE  25
000111001   57   67  166   17   83  250   47   11 1030.695661 0.000000 FAILURE  26
000111011   79  118  199   46  134  272   83   66 656.929157 0.000000 FAILURE  27
000111101   57   67  170   16   80  244   58    9 1020.138937 0.000000 FAILURE  28
000111111 1134 1280 1342 1239 1249 1421 1194 1252 35473.234462 0.000000 FAILURE  29
001000011   80  119  195   56   61  332  104   67 731.514686 0.000000 FAILURE  30
001000101   58   66   80  102    5  155  218   11 989.946303 0.000000 FAILURE  31
001000111  152  179  193  220  129  250  311  163 170.593253 0.000000 FAILURE  32
001001011   78  118  111  136   68  172  251   67 595.510142 0.000000 FAILURE  33
001001101   57   67   77  107   16  140  223   10 979.801595 0.000000 FAILURE  34
001001111  289  354  338  389  285  403  380  421 510.715296 0.000000 FAILURE  35
001010011   80  119   73  175   67   98  153  238 583.484352 0.000000 FAILURE  36
001010101   57   67   41  145   17   82  112  182 917.922901 0.000000 FAILURE  37
001010111  152  181  172  247  141  180  204  337 180.755967 0.000000 FAILURE  38
001011011   58   98  129   87  146  116  142   95 646.725136 0.000000 FAILURE  39
001011101   33   45   81   57  101   77   52   68 1110.844997 0.000000 FAILURE  40
001011111  558  626  644  625  660  641  596  698 5124.643523 0.000000 FAILURE  41
001100101   37   46   84   57  101   78   37   83 1100.493752 0.000000 FAILURE  42
001100111  128  159  211  161  228  184  141  230 184.073280 0.000000 FAILURE  43
001101011   50   87  147   37  191  111   79   54 841.678716 0.000000 FAILURE  44
001101101   25   36  101   23  138   81   38   10 1253.576315 0.000000 FAILURE  45
001101111  257  322  373  288  405  331  297  321 283.423208 0.000000 FAILURE  46
001110101   27   36  101   21   65  152   38   10 1265.085231 0.000000 FAILURE  47
001110111  120  149  229  123  188  242  141  166 251.016914 0.000000 FAILURE  48
001111011   48   88  151   39  131  162   80   66 812.575965 0.000000 FAILURE  49
001111101   25   36  101   22   77  140   26   20 1261.423688 0.000000 FAILURE  50
001111111 2264 2480 2472 2480 2466 2493 1922 1756 144626.354644 0.000000 FAILURE  51
010000011   46   87  142   49  123  163   65  255 702.870555 0.000000 FAILURE  52
010000111  124  153  225  154  154  246  171  183 205.188847 0.000000 FAILURE  53
010001011   48   85   99   94   82  115  152   92 770.952794 0.000000 FAILURE  54
010001111  256  329  308  351  283  323  385  339 251.771041 0.000000 FAILURE  55
010010011   49   89   97  103   94  104  158   88 752.706512 0.000000 FAILURE  56
010010111  121  161  170  184  160  171  229  174 206.536108 0.000000 FAILURE  57
010011011   48   87   94  100   92   99  157   89 772.432451 0.000000 FAILURE  58
010011111  550  640  590  675  602  633  644  700 5094.933870 0.000000 FAILURE  59
010100011   45   98   64  128   80   63  105  199 796.784834 0.000000 FAILURE  60
010100111  129  163  138  219  149  134  181  278 245.885247 0.000000 FAILURE  61
010101011   60   89   67  132   83   79   95  195 761.711556 0.000000 FAILURE  62
010101111  269  325  296  366  299  306  319  441 321.605144 0.000000 FAILURE  63
010110011   59   88   64  132   81   73   95  192 781.717115 0.000000 FAILURE  64
010110111  120  156  178  166  196  153  171  192 221.718218 0.000000 FAILURE  65
010111011   40   83   86   86  122   74   57  141 877.596151 0.000000 FAILURE  66
010111111 1134 1213 1218 1226 1240 1226 1189 1313 32343.741384 0.000000 FAILURE  67
011000111  133  165  156  186  172  148  143  266 232.596929 0.000000 FAILURE  68
