		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  227  213  238  226  271  223  258  257 13.366166 0.099857 SUCCESS   0
000000011  217  236  274  237  257  231  263  260 11.402470 0.179921 SUCCESS   1
000000101  268  246  215  222  225  247  249  218 12.674530 0.123549 SUCCESS   2
000000111  227  237  222  254  247  260  258  254  6.276098 0.616335 SUCCESS   3
000001001  248  256  231  231  222  191  219  237 19.041187 0.014641 SUCCESS   4
000001011  277  261  227  205  224  231  234  245 16.396445 0.037045 SUCCESS   5
000001101  252  240  245  259  249  263  246  221  5.166090 0.739686 SUCCESS   6
000001111  219  218  232  253  234  240  243  286 14.463464 0.070457 SUCCESS   7
000010001  236  196  235  271  229  229  232  232 16.688775 0.033518 SUCCESS   8
000010011  263  238  221  263  242  212  238  242 10.012842 0.264126 SUCCESS   9
000010101  242  293  269  246  250  238  229  221 16.315948 0.038075 SUCCESS  10
000010111  254  272  223  253  223  223  212  249 14.183844 0.077098 SUCCESS  11
000011001  237  301  261  221  240  242  240  237 17.770186 0.023017 SUCCESS  12
000011011  267  254  231  267  267  317  243  211 34.947767 0.000027 FAILURE  13
000011101  258  238  251  266  282  296  306  247 36.935825 0.000012 FAILURE  14
000011111  229  224  231  281  245  238  223  288 19.384357 0.012934 SUCCESS  15
000100011  240  223  221  266  237  256  247  247  7.138261 0.521792 SUCCESS  16
000100101  250  258  246  229  270  239  251  253  5.427705 0.711036 SUCCESS  17
000100111  253  227  225  226  223  214  242  254 10.685413 0.220169 SUCCESS  18
000101001  238  226  209  221  264  265  248  236 12.906488 0.115108 SUCCESS  19
000101011  253  234  303  243  263  236  230  224 19.809083 0.011083 SUCCESS  20
000101101  222  235  264  234  243  248  243  264  6.282453 0.615625 SUCCESS  21
000101111  250  259  241  238  206  241  249  229  8.553309 0.381366 SUCCESS  22
000110011  249  277  270  237  249  225  259  223 12.209555 0.142096 SUCCESS  23
