		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  237  239  222  247  260  234  248  237  4.216017 0.837127 SUCCESS   0
000000011  249  239  221  237  226  224  241  237  6.056850 0.640864 SUCCESS   1
000000101  238  236  233  257  266  249  248  252  4.119633 0.846172 SUCCESS   2
000000111  256  241  235  264  253  226  219  250  7.211343 0.514012 SUCCESS   3
000001001  245  246  238  225  262  255  262  244  4.935192 0.764480 SUCCESS   4
000001011  249  237  243  252  258  253  257  247  2.470509 0.963092 SUCCESS   5
000001101  259  238  246  224  225  238  241  232  5.199984 0.736003 SUCCESS   6
000001111  228  261  245  255  253  243  224  245  4.870583 0.771315 SUCCESS   7
000010001  240  265  254  266  236  232  242  244  5.280480 0.727220 SUCCESS   8
000010011  265  231  236  229  256  253  254  237  5.384279 0.715824 SUCCESS   9
000010101  249  253  249  225  265  231  220  260  8.194251 0.414729 SUCCESS  10
000010111  244  220  246  246  237  264  226  254  6.189246 0.626043 SUCCESS  11
000011001  243  233  236  270  263  226  242  222  8.640160 0.373555 SUCCESS  12
000011011  246  233  256  235  246  237  243  232  2.347645 0.968457 SUCCESS  13
000011101  238  226  240  230  252  279  263  279 14.546079 0.068596 SUCCESS  14
000011111  239  245  274  239  228  234  240  251  5.815360 0.667905 SUCCESS  15
000100011  238  264  261  261  232  251  238  242  5.246587 0.730925 SUCCESS  16
000100101  249  238  225  247  246  228  242  235  3.332671 0.911781 SUCCESS  17
000100111  270  260  222  252  251  255  267  223 11.049767 0.198895 SUCCESS  18
000101001  257  259  231  264  239  256  236  251  5.231759 0.732543 SUCCESS  19
000101011  228  242  242  220  254  226  229  266  8.407143 0.394742 SUCCESS  20
000101101  256  264  249  260  252  247  258  225  6.102395 0.635763 SUCCESS  21
000101111  256  253  244  231  260  246  229  228  4.814447 0.777212 SUCCESS  22
000110011  244  246  244  241  233  237  245  242  0.818207 0.999157 SUCCESS  23
000110101  232  234  252  240  236  245  244  269  4.296514 0.829429 SUCCESS  24
000110111  234  249  261  225  235  232  260  245  5.337676 0.720950 SUCCESS  25
000111001  248  241  236  224  270  238  228  246  6.212548 0.623437 SUCCESS  26
000111011  279  216  270  237  226  264  269  252 17.505394 0.025256 SUCCESS  27
000111101  237  252  247  258  230  222  246  249  4.363241 0.822954 SUCCESS  28
000111111  214  251  254  263  229  234  249  239  7.583111 0.475214 SUCCESS  29
001000011  226  225  246  240  230  237  240  261  5.367332 0.717690 SUCCESS  30
001000101  254  236  256  259  232  244  253  237  3.399399 0.906856 SUCCESS  31
001000111  230  260  249  256  236  227  241  234  4.608968 0.798435 SUCCESS  32
001001011  238  246  239  260  252  228  226  240  4.181064 0.840429 SUCCESS  33
001001101  239  228  242  235  241  242  238  267  4.021130 0.855212 SUCCESS  34
001001111  264  249  240  241  241  238  253  225  3.971349 0.859699 SUCCESS  35
001010011  258  263  235  247  248  274  252  231  7.550277 0.478584 SUCCESS  36
001010101  233  260  257  237  246  252  235  259  4.077266 0.850086 SUCCESS  37
001010111  242  242  230  228  255  232  251  240  3.381393 0.908197 SUCCESS  38
001011011  243  239  235  256  228  224  227  230  5.972117 0.650355 SUCCESS  39
001011101  235  241  232  244  271  261  224  224  8.715361 0.366874 SUCCESS  40
001011111  244  242  260  247  253  266  235  253  4.169414 0.841524 SUCCESS  41
001100101  255  234  230  240  238  225  231  222  6.365068 0.606410 SUCCESS  42
001100111  245  249  257  223  224  262  243  246  5.786763 0.671104 SUCCESS  43
001101011  233  234  254  238  230  260  263  283 11.355866 0.182339 SUCCESS  44
001101101  263  234  239  269  242  240  228  232  6.492168 0.592276 SUCCESS  45
001101111  241  248  255  240  256  214  248  237  5.399107 0.714191 SUCCESS  46
001110101  247  255  227  231  246  261  249  261  5.036872 0.753628 SUCCESS  47
001110111  251  236  230  247  269  242  253  241  4.375951 0.821712 SUCCESS  48
001111011  226  246  255  276  229  244  246  243  7.201811 0.515024 SUCCESS  49
001111101  265  252  257  244  231  240  261  237  5.034754 0.753855 SUCCESS  50
001111111  240  249  251  253  230  255  261  239  3.370801 0.908982 SUCCESS  51
010000011  249  236  263  240  255  255  272  263  7.765288 0.456727 SUCCESS  52
010000111  242  223  237  228  241  232  231  256  5.217990 0.734043 SUCCESS  53
010001011  248  273  278  256  229  223  243  235 12.273105 0.139428 SUCCESS  54
010001111  223  239  252  256  230  229  281  226 11.829314 0.158983 SUCCESS  55
010010011  233  241  234  259  264  239  210  223 10.546662 0.228732 SUCCESS  56
010010111  214  260  225  275  267  248  265  237 14.842646 0.062278 SUCCESS  57
010011011  220  233  222  254  268  223  224  256 12.096224 0.146962 SUCCESS  58
010011111  242  223  251  249  227  229  259  233  5.884206 0.660201 SUCCESS  59
010100011  257  224  230  207  248  245  268  241 11.625954 0.168689 SUCCESS  60
010100111  263  236  258  260  240  253  260  226  6.537712 0.587228 SUCCESS  61
010101011  246  261  258  248  244  258  246  247  2.966199 0.936461 SUCCESS  62
010101111  230  251  267  228  240  243  263  260  7.018575 0.534630 SUCCESS  63
010110011  262  256  245  228  239  229  281  230 10.742608 0.216714 SUCCESS  64
010110111  246  262  245  250  230  232  216  218  9.229058 0.323343 SUCCESS  65
010111011  239  251  231  260  247  234  226  245  3.973468 0.859509 SUCCESS  66
010111111  243  254  242  237  262  248  234  254  2.917477 0.939429 SUCCESS  67
011000111  264  236  263  246  232  245  268  260  7.586288 0.474888 SUCCESS  68
011001111  252  273  251  256  215  251  268  237 11.016933 0.200742 SUCCESS  69
011010111  253  236  236  239  255  248  230  257  3.116601 0.926828 SUCCESS  70
011011111  252  233  229  259  235  229  238  238  4.333585 0.825842 SUCCESS  71
011101111  233  254  230  223  257  248  236  248  4.782672 0.780532 SUCCESS  72
011111111  225  242  264  264  229  253  242  239  6.349181 0.608181 SUCCESS  73
100000000  237  239  222  247  260  234  248  237  4.216017 0.837127 SUCCESS  74
100010000  230  216  266  270  223  250  239  264 12.882127 0.115970 SUCCESS  75
100100000  240  249  248  263  247  246  260  261  4.069852 0.850767 SUCCESS  76
100101000  260  233  233  234  232  241  248  259  4.216017 0.837127 SUCCESS  77
100110000  256  240  219  228  276  258  231  232 10.918430 0.206364 SUCCESS  78
100111000  271  228  251  237  263  268  250  255  9.148561 0.329919 SUCCESS  79
101000000  266  248  239  239  229  249  249  240  3.556155 0.894788 SUCCESS  80
101000100  226  228  257  254  228  261  246  263  7.441183 0.489864 SUCCESS  81
101001000  226  247  223  251  235  225  238  225  7.128728 0.522810 SUCCESS  82
101001100  270  274  260  228  256  275  246  229 14.407328 0.071747 SUCCESS  83
101010000  252  266  223  228  259  239  271  266 11.418357 0.179102 SUCCESS  84
101010100  262  254  247  217  238  239  230  246  6.049436 0.641694 SUCCESS  85
101011000  242  245  271  252  202  267  234  243 13.519746 0.095174 SUCCESS  86
101011100  266  225  230  232  273  240  250  239  8.907071 0.350196 SUCCESS  87
101100000  252  238  256  249  252  235  233  233  2.784022 0.947172 SUCCESS  88
101100100  227  244  260  294  260  265  253  265 17.942830 0.021659 SUCCESS  89
101101000  232  225  250  239  224  239  230  265  6.948670 0.542181 SUCCESS  90
101101100  219  237  254  266  221  227  245  257  9.543630 0.298528 SUCCESS  91
101110000  250  260  236  257  240  223  250  241  4.346295 0.824607 SUCCESS  92
101110100  255  243  226  243  240  254  243  222  4.468099 0.812616 SUCCESS  93
101111000  239  257  246  260  268  221  238  246  6.750605 0.563764 SUCCESS  94
101111100  258  236  244  234  240  271  243  253  5.000860 0.757484 SUCCESS  95
110000000  241  225  222  247  246  235  242  239  4.198011 0.838831 SUCCESS  96
110000010  245  256  257  254  248  243  229  230  3.599581 0.891325 SUCCESS  97
110000100  283  235  237  246  246  214  230  209 16.917556 0.030979 SUCCESS  98
110001000  249  232  264  245  233  263  256  226  6.423322 0.599925 SUCCESS  99
110001010  226  250  236  232  223  241  245  273  7.908275 0.442481 SUCCESS 100
110010000  237  238  270  253  269  248  239  244  6.340707 0.609125 SUCCESS 101
110010010  248  246  263  266  244  235  235  237  4.535886 0.805832 SUCCESS 102
110010100  232  230  226  257  231  233  255  246  5.332380 0.721532 SUCCESS 103
