		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001 2721 2929 2930 2930 2929 2930 2544 2416 221155.299204 0.000000 FAILURE   0
000000011 1057 1141 1619  690 1376 1954  881  440 34753.522611 0.000000 FAILURE   1
000000101  520  739  723  756 1409   19  722  828 11817.070749 0.000000 FAILURE   2
000000111  525  569  698  476  756  829  940   23 6700.024106 0.000000 FAILURE   3
000001001  339  454  279  724  179  339  367 1148 4786.912022 0.000000 FAILURE   4
000001011  351  249  391  332  799   19  128  536 2109.793696 0.000000 FAILURE   5
000001101  181  161  546    0  309  783   23    0 2392.483430 0.000000 FAILURE   6
000001111  478  282  458  543  576  448  821  237 2862.897926 0.000000 FAILURE   7
000010001  172  171  155  392    0  309  398  408 655.403955 0.000000 FAILURE   8
000010011  270  171   34  356  215   30  324  494 754.977368 0.000000 FAILURE   9
000010101  123  124   94  154  391    0  333    0 883.033918 0.000000 FAILURE  10
000010111  327  147  129  264  466   96  105  521 835.197669 0.000000 FAILURE  11
000011001  123  107  111   84  246  216   24  131 588.404186 0.000000 FAILURE  12
000011011  157  115  171   24  189  392   46   63 741.552418 0.000000 FAILURE  13
000011101   47  124  171    0  155  188  228    0 801.505545 0.000000 FAILURE  14
000011111  597  648  480  772  541  568  998  649 6555.001808 0.000000 FAILURE  15
000100011  149  124   77  118   35  155  233  267 506.877931 0.000000 FAILURE  16
000100101   46  123   77   93    0  155   24  391 1026.383789 0.000000 FAILURE  17
000100111  246  147   35  280   95   77  258  464 648.903843 0.000000 FAILURE  18
000101001   24  113   34  121   50    0  177  105 1042.662137 0.000000 FAILURE  19
000101011  123  100   47  101  130    0  203   63 855.406588 0.000000 FAILURE  20
000101101   24  101   47   77   94    0   23  154 1164.585047 0.000000 FAILURE  21
000101111  350  245  220  456  245  239  220  662 982.534247 0.000000 FAILURE  22
000110011  123   84   64   31  187   12   48   63 1044.742343 0.000000 FAILURE  23
000110101   24   24  124    0   77   94   23    0 1397.671841 0.000000 FAILURE  24
000110111  157  115  159  110  172  172  106  276 338.926772 0.000000 FAILURE  25
000111001   23   23  125    0   77   94   23    0 1400.397079 0.000000 FAILURE  26
000111011   47  100  124   23  112   94   47   63 993.989146 0.000000 FAILURE  27
000111101   23   23  124    0   77   93   24    0 1400.817569 0.000000 FAILURE  28
000111111 1150 1265 1044 1391  899 1326 1179 1451 32824.753911 0.000000 FAILURE  29
001000011   47  102   77   70   36   77  141   63 982.890128 0.000000 FAILURE  30
001000101   23   24   78   47    0   77  113    7 1375.887939 0.000000 FAILURE  31
